IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt0099685	11/19/2021	Goodfellas	n	HBO Max	NA	Great	10
tt1197628	11/20/2021	Observe and Report	n	Netflix	NA	Good	8
tt6764122	11/21/2021	Ramen Heads	n	Hulu	NA	Good +	8.5
tt0085244	11/22/2021	The Big Chill	n	Pluto TV	NA	Decent	5
tt9214766	11/23/2021	The Box	n	Hulu	NA	Okay	2
tt0106220	11/23/2021	Addams Family Values	n	Netflix	NA	Good	8
tt2097333	11/24/2021	A.C.O.R.N.S: Operation Crack Down	n	Hulu	NA	Not Good	0
tt2872750	11/25/2021	Shaun the Sheep Movie	n	Hulu	NA	Good	8
tt4266638	11/26/2021	Krisha	n	Amazon Prime	NA	Okay +	2.5
tt7681824	11/27/2021	We The Animals	n	Stream	NA	Decent +	6
tt0273923	11/28/2021	Orange County	n	Netflix	NA	Good	8
tt0074486	11/29/2021	Eraserhead	n	HBO Max	NA	Great	10
tt0145487	11/30/2021	Spider-Man	y	FX	NA	Good	8
tt0080678	11/30/2021	The Elephant Man	n	Pluto TV	NA	Good +	8.5
tt0090756	12/1/2021	Blue Velvet	n	Starz	NA	Good +	8.5
tt0166924	12/2/2021	Mulholland Dr.	n	Stream	NA	Good +	8.5
tt0491152	12/3/2021	Something Borrowed	n	Netflix	NA	Okay +	2.5
tt11100856	12/4/2021	"Love, Guaranteed"	n	Netflix	NA	Okay	2
tt3282712	12/5/2021	Best Worst Thing That Could Have Ever Happened	n	Netflix	NA	Decent +	6
tt0068361	12/6/2021	Le Charme Discret De La Bouge Bourgeoisie	n	Amazon Prime	NA	Good	8
tt0120601	12/7/2021	Being John Malkovich	n	Peacock	NA	Good +	8.5
tt0107048	12/8/2021	Groundhog Day	n	Hulu	NA	Decent	5
tt0478304	12/9/2021	The Tree of Life	n	Stream	NA	Okay	2
tt5666304	12/10/2021	The Little Hours	n	Hulu	NA	Good	8
tt0117802	12/11/2021	Swingers	n	HBO Max	NA	Good +	8.5
tt8923482	12/12/2021	One Child Nation	n	Amazon Prime	NA	Okay +	2.5
tt6598626	12/13/2021	Take Me	n	Netflix	NA	Good	8
tt7422822	12/14/2021	Greener Grass	n	Netflix	NA	Great	10
tt7248248	12/15/2021	Lucky Day	n	Hulu	NA	Decent	5
tt8976576	12/16/2021	Vampires vs. The Bronx	n	Netflix	NA	Good +	8.5
tt3972110	12/17/2021	The Assault	n	Hulu	NA	Okay	2
tt12528166	12/18/2021	Out of Death	n	Hulu	NA	Okay	2
tt10872600	12/19/2021	Spider-Man: No Way Home	n	Regal Theater	NA	Great +	10
tt0488658	12/20/2021	Unaccompanied Minors	n	Netflix	NA	Good	8
tt0116705	12/21/2021	Jingle All the Way	n	Hulu	NA	Good -	7.5
tt2709692	12/22/2021	Dr. Seuss' the Grinch	n	FX	NA	Good +	8.5
tt4976192	12/23/2021	211	n	Hulu	NA	Decent	5
tt7286966	12/24/2021	Money Plane	n	Hulu	NA	Okay	2
tt1731767	12/25/2021	Scooby-Doo! Camp Scare	n	HBO Max	NA	Good	8
tt3014078	12/26/2021	Shagri-la Suite	n	Hulu	NA	Good	8
tt10838180	12/27/2021	The Matrix: Resurrections	n	HBO Max	NA	Good	8
tt2953050	12/28/2021	Encanto	n	Disney +	NA	Good +	8.5
