IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt1853728	6/4/2021	Django Unchained	n	Netflix	NA	Great	10
tt0082971	6/5/2021	Indiana Jones: Raiders of the Lost Ark	y	Regal Theater	NA	Good	8
tt7873348	6/5/2021	Save Yourselves	n	Hulu	NA	Great	10
tt11327514	6/6/2021	Uncle Frank	n	Amazon Prime	NA	Good +	8.5
tt8969332	6/7/2021	The Biggest Little Farm	n	Hulu	NA	Good	8
tt10214496	6/8/2021	The Donut King	n	Hulu	NA	Good	8
tt13080188	6/9/2021	Naughty Books	n	Hulu	NA	Good	8
tt9613244	6/10/2021	Autonomy	n	Hulu	NA	Decent	5
tt0111257	6/11/2021	Speed	n	HBO Max	NA	Good +	8.5
tt6963760	6/12/2021	"If You're Not In the Obit, Eat Breakfast"	n	HBO Max	NA	Good	8
tt3810760	6/13/2021	Minimalism	n	Netflix	NA	Decent	5
tt7504726	6/14/2021	The Call of the Wild	n	HBO Max	NA	Decent	5
tt0067116	6/15/2021	The French Connection	n	Amazon Prime	NA	Good +	8.5
tt2322441	6/16/2021	50 Shades of Grey	n	TBS	NA	Okay -	1.5
tt0119571	6/17/2021	The Love Bug	n	Disney +	NA	Good	8
tt1677720	6/18/2021	Ready Player One	n	HBO Max	NA	Great	10
tt2262227	6/19/2021	Book of Life	n	Disney +	NA	Decent	5
tt0065488	6/20/2021	The Boys in the Band	n	Stream	NA	Good	8
tt1321510	6/21/2021	In The Heights	n	Regal Theater	NA	Good	8
tt8385148	6/22/2021	The Hitman's Wife's Bodyguard	n	Regal Theater	NA	Good	8
tt0388795	6/23/2021	Brokeback Mountain	n	Person's Movie	NA	Good	8
tt3228774	6/24/2021	Cruella	n	Regal Theater	NA	Good -	7.5
tt0942385	6/25/2021	Tropic Thunder	n	Amazon Prime	NA	Good -	7.5
tt0078748	6/26/2021	Alien	n	Amazon Prime	NA	Good	8
tt13143964	6/27/2021	Borat 2	n	Amazon Prime	NA	Okay	2
tt0086960	6/28/2021	Beverly Hills Cop 2	n	HBO Max	NA	Decent	5
tt0100403	6/29/2021	Predator 2	n	Hulu	NA	Not good	0
tt0266915	6/30/2021	Rush Hour 2	n	HBO Max	NA	Okay -	1.5
tt1764651	7/1/2021	Expendables 2	n	Hulu	NA	Decent	5
tt10199914	7/2/2021	Boys in the Band	n	Netflix	NA	Decent +	6
tt0232500	7/3/2021	Fast and Furious	n	Hulu	NA	Good	8
tt0322259	7/4/2021	2 Fast 2 Furious	n	Hulu	NA	Good	8
tt0463985	7/4/2021	Fast and Furious 3: Tokyo Drift	n	Peacock	NA	Okay	2
tt14544192	7/5/2021	Inside	n	Netflix	NA	Great	10
tt11738792	7/6/2021	Taylor Tomlinson: Quarter-Life Crisis	n	Netflix	NA	Decent	5
tt6878486	7/7/2021	Norm	n	Netflix	NA	Decent	5
tt2546038	7/8/2021	Maria Bamford: the special special special!	n	Netflix	NA	Decent +	6
tt3480822	7/9/2021	Black Widow	n	Regal Theater	NA	Good +	8.5
tt0175142	7/10/2021	Scary Movie	n	Pluto	NA	Good	8
tt7929156	7/11/2021	Chris Claremont	n	Amazon Prime	NA	Good	8
tt1655460	7/12/2021	Wanderlust	n	HBO Max	NA	Good	8
tt0085995	7/13/2021	National Lampoon	n	HBO Max	NA	Okay	2
tt8143990	7/14/2021	Kajillionaire	n	HBO Max	NA	Great	10
tt1524930	7/15/2021	Vacation	n	HBO Max	NA	Decent 	5
tt0033563	7/16/2021	Dumbo	n	Disney +	NA	Good	8
tt2702920	7/17/2021	Secret Garden	n	Hulu	NA	Decent	5
tt7069210	7/18/2021	Conjuring	n	Hull's Drive-in	NA	Okay	2
tt11644096	7/19/2021	What Did Jack Do	n	Netflix	NA	Good	8
tt10516390	7/20/2021	"Frankenstein's Monster's Monster, Frankenstein"	n	Netflix	NA	Good	8
tt0043274	7/21/2021	Alice in Wonderland	n	Netflix	NA	Decent	5
tt10516984	7/22/2021	Anima	n	Netflix	NA	Decent +	6
tt11768948	7/23/2021	"If Anything Happens, I Love You"	n	Netflix	NA	Great	10
tt5912454	7/24/2021	Blue Jay	n	Netflix	NA	Okay	2
tt13322484	7/25/2021	Cops and Robbers	n	Netflix	NA	Decent	5
tt0081494	7/26/2021	Return to the 36th Chamber	n	Netflix	NA	Decent	5
tt0354234	7/27/2021	The Young Vagabond	n	Netflix	NA	Decent	5
tt0091607	7/28/2021	Martial Arts of Shaolin	n	Netflix	NA	Decent	5
tt0087623	7/29/2021	Opium and the Kung Fu Master	n	Netflix	NA	Decent	5
tt1131734	7/30/2021	Jenifer's Body	n	Hulu	NA	Okay -	1.5
tt6939026	7/31/2021	Period. End of Sentence	n	Netflix	NA	Decent	5
tt0273858	8/1/2021	The Mystery of Chaco Canyon	n	Amazon Prime	NA	Not Good	0
tt7638348	8/2/2021	Boss Level	n	Hulu	NA	Good	8
tt11080108	8/3/2021	Little Map of Perfect Things	n	Amazon Prime	NA	Decent	5
tt5640450	8/4/2021	ARQ	n	Netflix	NA	Good -	7.5
tt0480669	8/5/2021	Timecrimes	n	Tubi	NA	Good	8
tt6334354	8/6/2021	The Suicide Squad	n	Regal Theater	NA	Good	8
tt6417144	8/7/2021	The Mothman of Point Pleasant	n	Amazon Prime	NA	Decent +	6
tt10287376	8/8/2021	VHYes	n	Hulu	NA	Decent +	6
tt4270516	8/9/2021	grandma	n	Hulu	NA	Good	8
tt7736968	8/10/2021	5 Years Apart	n	Hulu	NA	Decent	5
tt0086203	8/11/2021	Rock and Rule	n	Youtube	NA	Good	8
tt2781516	8/12/2021	Wolf Cop	n	Hulu	NA	Decent +	6
tt6264654	8/13/2021	Free Guy	n	Regal Theater	NA	Great	10
tt1261900	8/14/2021	HP Lovecraft	n	Amazon Prime	NA	Decent	5
tt13648220	8/15/2021	Misha and the Wolves	n	Amazon Prime	NA	Good -	7.5
tt0033870	8/16/2021	The Maltese Falcon	n	Netflix	NA	Good	8
tt0159382	8/17/2021	The Croupier	n	Netflix	NA	Good	8
tt1764234	8/18/2021	killing them softly	n	Netflix	NA	Good +	8.5
tt4550098	8/19/2021	Nocturnal Animals	n	Netflix	NA	Decent +	6
tt0870154	8/20/2021	The Jungle Cruise	n	Regal Theater	NA	Good	8
tt0121765	8/20/2021	Star Wars Ep 2	y	Disney +	NA	Good	8
tt1570460	8/21/2021	Capturing the Light: The Dorothy Izatt Phenomenon	n	Amazon Prime	NA	Okay	2
tt0380601	8/22/2021	One Last Shot	n	Netflix	NA	Good	8
tt0089374	8/23/2021	Police Story	n	HBO Max	NA	Decent	5
tt0290095	8/24/2021	The Tuxedo	n	Hulu	NA	Okay	2
tt0271946	8/25/2021	The Accidental Spy	n	Hulu	NA	Decent	5
tt0865556	8/26/2021	The Forbidden Kingdom	n	Hulu	NA	Okay-	1.5
tt3272066	8/27/2021	Reminiscence	n	Regal Theater	NA	Decent	5
tt13865926	8/28/2021	About a Girl	n	HBO Max	NA	Good	8
tt6848624	8/29/2021	The Neverending Man: Hayao Miyazaki	n	HBO Max	NA	Good	8
tt0079833	8/30/2021	The Castle of Cagliostro	n	Netflix	NA	Great	10
tt0087544	8/31/2021	Nausicaä of the Valley of the Wind	n	HBO Max	NA	Great	10
tt3783958	9/1/2021	La La Land	y	Amazon Prime	NA	Good +	8.5
tt0092067	9/1/2021	Castle in the Sky	n	HBO Max	NA	Good	8
tt0104652	9/2/2021	Porco Rosso	n	HBO Max	NA	Great	10
tt9376612	9/3/2021	Shang-Chi and the Legend of the Ten Rings	n	Regal Theater	NA	Good +	8.5
tt0372784	9/3/2021	Batman Begins	n	HBO Max	NA	Good	8
tt0468569	9/4/2021	The Dark Knight	n	HBO Max	NA	Good	8
