"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"The Matrix(1999)","The Matrix","2021-03-05","movie","1999","1990","1995","23","136","Action","Sci-Fi","","y","HBO Max","10.0","8.7","NA"
"Spider-Man: Homecoming(2017)","Spider-Man: Homecoming","2021-03-09","movie","2017","2010","2015","5","133","Action","Adventure","Sci-Fi","y","Stream","10.0","7.4","NA"
"Superbad(2007)","Superbad","2021-03-12","movie","2007","2000","2005","15","113","Comedy","","","y","Netflix","10.0","7.6","NA"
"30 Minutes or Less(2011)","30 Minutes or Less","2021-03-13","movie","2011","2010","2010","11","83","Action","Comedy","Crime","n","Netflix","2.0","6.1","NA"
"Buffaloed(2019)","Buffaloed","2021-03-14","movie","2019","2010","2015","3","95","Comedy","Drama","","n","Hulu","8.0","6.2","NA"
"The Night Watchmen(2017)","The Night Watchmen","2021-03-18","movie","2017","2010","2015","5","80","Action","Comedy","Horror","n","Hulu","5.0","5.3","NA"
"Star Wars: Episode II - Attack of the Clones(2002)","Star Wars Ep 2","2021-08-20","movie","2002","2000","2000","20","142","Action","Adventure","Fantasy","y","Disney +","8.0","6.6","NA"
"The Naked Gun: From the Files of Police Squad!(1988)","The Naked Gun","2021-03-21","movie","1988","1980","1985","34","85","Comedy","Crime","","n","Netflix","8.0","7.6","NA"
"I Care a Lot(2020)","I Care A Lot","2021-03-22","movie","2020","2020","2020","2","118","Comedy","Crime","Drama","n","Netflix","8.5","6.3","NA"
"The Death of Stalin(2017)","The Death of Stalin","2021-03-23","movie","2017","2010","2015","5","107","Comedy","Drama","History","n","Netflix","10.0","7.2","NA"
"2067(2020)","2067","2021-03-24","movie","2020","2020","2020","2","114","Mystery","Sci-Fi","","n","Hulu","5.0","4.9","NA"
"CHIPS(2017)","Chips","2021-03-25","movie","2017","2010","2015","5","100","Action","Comedy","Crime","n","HBO Max","5.0","6.0","NA"
"Pulp Fiction(1994)","Pulp FIction","2021-03-26","movie","1994","1990","1990","28","154","Crime","Drama","","n","HBO Max","10.0","8.9","NA"
"Kung Fu Hustle(2004)","Kung Fu Hustle","2021-03-27","movie","2004","2000","2000","18","99","Action","Comedy","Fantasy","n","Netflix","8.0","7.7","NA"
"Safety Not Guaranteed(2012)","Safety Not Guaranteed","2021-03-29","movie","2012","2010","2010","10","86","Adventure","Comedy","Drama","n","Netflix","8.5","6.9","NA"
"The Tourist(2010)","The Tourist","2021-03-30","movie","2010","2010","2010","12","103","Action","Thriller","","n","Hulu","8.0","6.0","NA"
"Enter the Dragon(1973)","Enter the Dragon","2021-03-31","movie","1973","1970","1970","49","102","Action","Crime","Drama","n","Netflix","8.5","7.6","NA"
"The Squid and the Whale(2005)","The Squid and the Whale","2021-04-01","movie","2005","2000","2005","17","81","Comedy","Drama","","n","Tubi","8.5","7.3","NA"
"American Ultra(2015)","American Ultra","2021-04-02","movie","2015","2010","2015","7","96","Action","Comedy","","n","Hulu","8.0","6.1","NA"
"The Intouchables(2011)","The Intouchables","2021-04-03","movie","2011","2010","2010","11","112","Biography","Comedy","Drama","n","Netflix","8.0","8.5","NA"
"Mafia!(1998)","Mafia!","2021-04-06","movie","1998","1990","1995","24","87","Comedy","Crime","","n","Hulu","2.0","5.5","NA"
"I'm Thinking of Ending Things(2020)","I'm Thinking of Ending Things","2021-04-07","movie","2020","2020","2020","2","134","Drama","Thriller","","n","Netflix","8.0","6.6","NA"
"I Don't Feel at Home in This World Anymore.(2017)","I don't feel at home in this world anymore","2021-04-08","movie","2017","2010","2015","5","93","Comedy","Crime","Drama","n","Netflix","8.0","6.9","NA"
"Citizen Kane(1941)","Citizen Kane","2021-04-11","movie","1941","1940","1940","81","119","Drama","Mystery","","n","Netflix","8.5","8.3","NA"
"Mank(2020)","Mank","2021-04-11","movie","2020","2020","2020","2","131","Biography","Comedy","Drama","n","Netflix","8.5","6.8","NA"
"Accepted(2006)","Accepted","2021-04-12","movie","2006","2000","2005","16","93","Comedy","","","n","Netflix","5.0","6.4","NA"
"The Beach Bum(2019)","The Beach Bum","2021-04-13","movie","2019","2010","2015","3","95","Comedy","","","n","Hulu","2.0","5.5","NA"
"The Tax Collector(2020)","The Tax Collector","2021-04-14","movie","2020","2020","2020","2","95","Action","Crime","Drama","n","Hulu","1.5","4.8","NA"
"Free Fire(2016)","Free Fire","2021-04-15","movie","2016","2010","2015","6","91","Action","Comedy","Crime","n","Netflix","5.0","6.3","NA"
"Total Recall(1990)","Total Recall","2021-04-16","movie","1990","1990","1990","32","113","Action","Adventure","Sci-Fi","n","Netflix","8.0","7.5","NA"
"Dark Shadows(2012)","Dark Shadows","2021-04-17","movie","2012","2010","2010","10","113","Comedy","Fantasy","Horror","n","HBO","8.0","6.2","NA"
"My Octopus Teacher(2020)","My Octopus Teacher","2021-04-18","movie","2020","2020","2020","2","85","Documentary","","","n","Netflix","8.5","8.1","NA"
"Everything Must Go(2010)","Everything Must Go","2021-04-18","movie","2010","2010","2010","12","97","Drama","","","n","Hulu","8.0","6.4","NA"
"Minari(2020)","Minari","2021-04-19","movie","2020","2020","2020","2","115","Drama","","","n","Stream","10.0","7.4","NA"
"Promising Young Woman(2020)","Promising Young Woman","2021-04-20","movie","2020","2020","2020","2","113","Crime","Drama","Mystery","n","Stream","8.0","7.5","NA"
