"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"The Departed(2006)","The Departed","2022-04-05","movie","2006","2000","2005","16","151","Crime","Drama","Thriller","n","HBO Max","8.5","8.5","NA"
"Little Miss Sunshine(2006)","Little Miss Sunshine","2022-04-06","movie","2006","2000","2005","16","101","Comedy","Drama","","n","Stream","8.5","7.8","NA"
"The Salesman(2016)","The Salesman","2022-04-07","movie","2016","2010","2015","6","124","Drama","","","n","Amazon Prime","8.5","7.7","NA"
"Blade Runner 2049(2017)","Blade Runner 2049","2022-04-08","movie","2017","2010","2015","5","164","Action","Drama","Mystery","n","Netflix","8.5","8.0","NA"
"Fiddler: A Miracle of Miracles(2019)","Fiddler: A Miracle of Miracles","2022-04-09","movie","2019","2010","2015","3","97","Documentary","","","n","Amazon Prime","10.0","7.5","NA"
"Casablanca(1942)","Casablanca","2022-04-10","movie","1942","1940","1940","80","102","Drama","Romance","War","n","HBO Max","8.5","8.5","NA"
"The Hidden Fortress(1958)","The Hidden Fortress","2022-04-11","movie","1958","1950","1955","64","139","Action","Adventure","Drama","n","HBO Max","10.0","8.1","NA"
"Everything Is Illuminated(2005)","Everything is Illuminated","2022-04-13","movie","2005","2000","2005","17","106","Comedy","Drama","","n","Stream","8.0","7.4","NA"
"Morbius(2022)","Morbius","2022-04-15","movie","2022","2020","2020","0","104","Action","Adventure","Horror","n","Regal","5.0","5.2","NA"
"Henry W. Gerrard(4706)","Henry W. Gerrard","","cinematographer","1899","1890","1895","123","","cinematographer","camera_department","","","","","",""
"Joel McCrea(6948)","Joel McCrea","","actor","1905","1900","1905","117","","actor","soundtrack","stunts","","","","",""
"Fay Wray(2039)","Fay Wray","","actress","1907","1900","1905","115","","actress","writer","camera_department","","","","",""
"Leslie Banks(2203)","Leslie Banks","","actor","1890","1890","1890","132","","actor","","","","","","",""
"Robert Armstrong(5877)","Robert Armstrong","","actor","1890","1890","1890","132","","actor","soundtrack","","","","","",""
"Irving Pichel(1635)","Irving Pichel","","actor","1891","1890","1890","131","","actor","director","producer","","","","",""
"Ernest B. Schoedsack(4325)","Ernest B. Schoedsack","","director","1893","1890","1890","129","","director","cinematographer","producer","","","","",""
"James Ashmore Creelman(7256)","James Ashmore Creelman","","writer","1894","1890","1890","128","","writer","director","editor","","","","",""
"Richard Connell(5028)","Richard Connell","","writer","1893","1890","1890","129","","writer","soundtrack","","","","","",""
"Max Steiner(0070)","Max Steiner","","music_department","1888","1880","1885","134","","music_department","composer","soundtrack","","","","",""
"William Gargan(7326)","William Gargan","","actor","1905","1900","1905","117","","actor","soundtrack","producer","","","","",""
"Sylvia Sidney(6662)","Sylvia Sidney","","actress","1910","1910","1910","112","","actress","","","","","","",""
"Henry Fonda(0020)","Henry Fonda","","actor","1905","1900","1905","117","","actor","producer","soundtrack","","","","",""
"Barton MacLane(3692)","Barton MacLane","","actor","1902","1900","1900","120","","actor","writer","soundtrack","","","","",""
"Jean Dixon(8863)","Jean Dixon","","actress","1893","1890","1890","129","","actress","soundtrack","miscellaneous","","","","",""
"Fritz Lang(0485)","Fritz Lang","","director","1890","1890","1890","132","","director","writer","producer","","","","",""
"Gene Towne(9999)","Gene Towne","","writer","1904","1900","1900","118","","writer","producer","miscellaneous","","","","",""
"C. Graham Baker(8305)","C. Graham Baker","","writer","1883","1880","1880","139","","writer","director","producer","","","","",""
"Leon Shamroy(5872)","Leon Shamroy","","cinematographer","1901","1900","1900","121","","cinematographer","camera_department","director","","","","",""
"Daniel Mandell(1721)","Daniel Mandell","","editor","1895","1890","1895","127","","editor","editorial_department","","","","","",""
"Gregg Toland(5904)","Gregg Toland","","cinematographer","1904","1900","1900","118","","cinematographer","camera_department","director","","","","",""
"Orson Welles(0080)","Orson Welles","","actor","1915","1910","1915","107","","actor","director","writer","","","","",""
"Joseph Cotten(1072)","Joseph Cotten","","actor","1905","1900","1905","117","","actor","soundtrack","writer","","","","",""
"Dorothy Comingore(3827)","Dorothy Comingore","","actress","1913","1910","1910","109","","actress","soundtrack","","","","","",""
"Agnes Moorehead(1547)","Agnes Moorehead","","actress","1900","1900","1900","122","","actress","soundtrack","miscellaneous","","","","",""
"Herman J. Mankiewicz(2534)","Herman J. Mankiewicz","","writer","1897","1890","1895","125","","writer","producer","actor","","","","",""
"John Houseman(2144)","John Houseman","","actor","1902","1900","1900","120","","actor","producer","miscellaneous","","","","",""
"Roger Q. Denny(9670)","Roger Q. Denny","","writer","","","","","","writer","director","","","","","",""
"Mollie Kent(8809)","Mollie Kent","","script_department","","","","","","script_department","writer","","","","","",""
"Bernard Herrmann(2136)","Bernard Herrmann","","music_department","1911","1910","1910","111","","music_department","composer","soundtrack","","","","",""
"Ben Sharpsteen(9313)","Ben Sharpsteen","","animation_department","1895","1890","1895","127","","animation_department","director","producer","","","","",""
"Sterling Holloway(1359)","Sterling Holloway","","actor","1905","1900","1905","117","","actor","soundtrack","miscellaneous","","","","",""
"Edward Brophy(2395)","Edward Brophy","","actor","1895","1890","1895","127","","actor","assistant_director","production_manager","","","","",""
"Herman Bing(2884)","Herman Bing","","actor","1889","1880","1885","133","","actor","assistant_director","production_manager","","","","",""
"Billy Bletcher(8285)","Billy Bletcher","","actor","1894","1890","1890","128","","actor","soundtrack","writer","","","","",""
"Samuel Armstrong(5899)","Samuel Armstrong","","director","1893","1890","1890","129","","director","animation_department","writer","","","","",""
"Norman Ferguson(2568)","Norman Ferguson","","animation_department","1902","1900","1900","120","","animation_department","director","production_manager","","","","",""
"Wilfred Jackson(4144)","Wilfred Jackson","","director","1906","1900","1905","116","","director","animation_department","music_department","","","","",""
"Jack Kinney(5741)","Jack Kinney","","director","1909","1900","1905","113","","director","producer","writer","","","","",""
"Bill Roberts(0860)","Bill Roberts","","director","1899","1890","1895","123","","director","animation_department","sound_department","","","","",""
"Humphrey Bogart(0007)","Humphrey Bogart","","actor","1899","1890","1895","123","","actor","soundtrack","producer","","","","",""
"Mary Astor(0802)","Mary Astor","","actress","1906","1900","1905","116","","actress","soundtrack","","","","","",""
"Gladys George(3438)","Gladys George","","actress","1900","1900","1900","122","","actress","soundtrack","","","","","",""
"Peter Lorre(0048)","Peter Lorre","","actor","1904","1900","1900","118","","actor","soundtrack","writer","","","","",""
"John Huston(1379)","John Huston","","actor","1906","1900","1905","116","","actor","director","writer","","","","",""
"Dashiell Hammett(8591)","Dashiell Hammett","","writer","1894","1890","1890","128","","writer","","","","","","",""
"Adolph Deutsch(6037)","Adolph Deutsch","","composer","1897","1890","1895","125","","composer","music_department","soundtrack","","","","",""
"Arthur Edeson(9186)","Arthur Edeson","","cinematographer","1891","1890","1890","131","","cinematographer","camera_department","assistant_director","","","","",""
"Thomas Richards(4360)","Thomas Richards","","editor","1899","1890","1895","123","","editor","","","","","","",""
"Joan Alison(9706)","Joan Alison","","writer","1901","1900","1900","121","","writer","","","","","","",""
"Ingrid Bergman(0006)","Ingrid Bergman","","actress","1915","1910","1915","107","","actress","soundtrack","producer","","","","",""
"Paul Henreid(2134)","Paul Henreid","","director","1908","1900","1905","114","","director","actor","producer","","","","",""
"Claude Rains(1647)","Claude Rains","","actor","1889","1880","1885","133","","actor","soundtrack","","","","","",""
"Michael Curtiz(2031)","Michael Curtiz","","director","1886","1880","1885","136","","director","writer","actor","","","","",""
"Julius J. Epstein(8493)","Julius J. Epstein","","writer","1909","1900","1905","113","","writer","producer","","","","","",""
"Philip G. Epstein(8525)","Philip G. Epstein","","writer","1909","1900","1905","113","","writer","producer","","","","","",""
"Howard Koch(2321)","Howard Koch","","writer","1901","1900","1900","121","","writer","actor","producer","","","","",""
"Murray Burnett(2417)","Murray Burnett","","writer","1910","1910","1910","112","","writer","director","","","","","",""
"Kazuo Miyagawa(4335)","Kazuo Miyagawa","","cinematographer","1908","1900","1905","114","","cinematographer","animation_department","camera_department","","","","",""
"Toshirô Mifune(1536)","Toshirô Mifune","","actor","1920","1920","1920","102","","actor","producer","director","","","","",""
"Machiko Kyô(7553)","Machiko Kyô","","actress","1924","1920","1920","98","","actress","","","","","","",""
"Masayuki Mori(5270)","Masayuki Mori","","actor","1911","1910","1910","111","","actor","soundtrack","","","","","",""
"Takashi Shimura(3766)","Takashi Shimura","","actor","1905","1900","1905","117","","actor","","","","","","",""
"Akira Kurosawa(0041)","Akira Kurosawa","","writer","1910","1910","1910","112","","writer","director","assistant_director","","","","",""
"Ryûnosuke Akutagawa(5611)","Ryûnosuke Akutagawa","","writer","1892","1890","1890","130","","writer","","","","","","",""
"Shinobu Hashimoto(8074)","Shinobu Hashimoto","","writer","1918","1910","1915","104","","writer","director","producer","","","","",""
"Minoru Jingo(3122)","Minoru Jingo","","producer","","","","","","producer","","","","","","",""
"Fumio Hayasaka(0593)","Fumio Hayasaka","","composer","1914","1910","1910","108","","composer","soundtrack","writer","","","","",""
"Winston Hibler(2548)","Winston Hibler","","writer","1910","1910","1910","112","","writer","producer","director","","","","",""
"Kathryn Beaumont(4607)","Kathryn Beaumont","","actress","1938","1930","1935","84","","actress","soundtrack","miscellaneous","","","","",""
"Ed Wynn(3956)","Ed Wynn","","actor","1886","1880","1885","136","","actor","soundtrack","miscellaneous","","","","",""
"Richard Haydn(0821)","Richard Haydn","","actor","1905","1900","1905","117","","actor","director","soundtrack","","","","",""
"Clyde Geronimi(4671)","Clyde Geronimi","","director","1901","1900","1900","121","","director","animation_department","writer","","","","",""
"Hamilton Luske(7217)","Hamilton Luske","","director","1903","1900","1900","119","","director","animation_department","producer","","","","",""
"Lewis Carroll(0902)","Lewis Carroll","","writer","1832","1830","1830","190","","writer","soundtrack","miscellaneous","","","","",""
"Ray Rennahan(5840)","Ray Rennahan","","cinematographer","1896","1890","1895","126","","cinematographer","camera_department","miscellaneous","","","","",""
"Charlton Heston(0032)","Charlton Heston","","actor","1923","1920","1920","99","","actor","director","writer","","","","",""
"Rhonda Fleming(1766)","Rhonda Fleming","","actress","1923","1920","1920","99","","actress","soundtrack","","","","","",""
"Jan Sterling(2443)","Jan Sterling","","actress","1921","1920","1920","101","","actress","soundtrack","","","","","",""
"Forrest Tucker(5861)","Forrest Tucker","","actor","1919","1910","1915","103","","actor","soundtrack","","","","","",""
"Jerry Hopper(4409)","Jerry Hopper","","director","1907","1900","1905","115","","director","miscellaneous","","","","","",""
"Charles Marquis Warren(2766)","Charles Marquis Warren","","writer","1912","1910","1910","110","","writer","producer","director","","","","",""
"Frank Gruber(4246)","Frank Gruber","","writer","1904","1900","1900","118","","writer","miscellaneous","producer","","","","",""
"Nat Holt(2489)","Nat Holt","","producer","1893","1890","1890","129","","producer","miscellaneous","","","","","",""
"Paul Sawtell(6275)","Paul Sawtell","","music_department","1906","1900","1905","116","","music_department","composer","soundtrack","","","","",""
"Lucien Ballard(5644)","Lucien Ballard","","cinematographer","1904","1900","1900","118","","cinematographer","camera_department","miscellaneous","","","","",""
"Sterling Hayden(1330)","Sterling Hayden","","actor","1916","1910","1915","106","","actor","writer","soundtrack","","","","",""
"Coleen Gray(6531)","Coleen Gray","","actress","1922","1920","1920","100","","actress","soundtrack","","","","","",""
"Vince Edwards(0436)","Vince Edwards","","actor","1928","1920","1925","94","","actor","director","writer","","","","",""
"Jay C. Flippen(2435)","Jay C. Flippen","","actor","1899","1890","1895","123","","actor","soundtrack","writer","","","","",""
"Stanley Kubrick(0040)","Stanley Kubrick","","writer","1928","1920","1925","94","","writer","director","producer","","","","",""
"Jim Thompson(0292)","Jim Thompson","","writer","1906","1900","1905","116","","writer","actor","","","","","",""
"Lionel White(5137)","Lionel White","","writer","1905","1900","1905","117","","writer","","","","","","",""
"James B. Harris(4805)","James B. Harris","","producer","1928","1920","1925","94","","producer","writer","director","","","","",""
"Gerald Fried(6086)","Gerald Fried","","composer","1928","1920","1925","94","","composer","music_department","soundtrack","","","","",""
"Jack H. Harris(4796)","Jack H. Harris","","producer","1918","1910","1915","104","","producer","miscellaneous","actor","","","","",""
"Steve McQueen(0537)","Steve McQueen","","actor","1930","1930","1930","92","","actor","producer","soundtrack","","","","",""
"Aneta Corsaut(1080)","Aneta Corsaut","","actress","1933","1930","1930","89","","actress","","","","","","",""
"Earl Rowe(6505)","Earl Rowe","","actor","1920","1920","1920","102","","actor","","","","","","",""
"Olin Howland(8250)","Olin Howland","","actor","1886","1880","1885","136","","actor","soundtrack","","","","","",""
"Irvin S. Yeaworth Jr.(7105)","Irvin S. Yeaworth Jr.","","director","1926","1920","1925","96","","director","producer","cinematographer","","","","",""
"Russell S. Doughten Jr.(4893)","Russell S. Doughten Jr.","","producer","1927","1920","1925","95","","producer","writer","director","","","","",""
"Theodore Simonson(0796)","Theodore Simonson","","writer","","","","","","writer","actor","","","","","",""
"Kay Linaker(0989)","Kay Linaker","","actress","1913","1910","1910","109","","actress","writer","soundtrack","","","","",""
"Irvine H. Millgate(9614)","Irvine H. Millgate","","writer","","","","","","writer","producer","","","","","",""
"Masaru Satô(6496)","Masaru Satô","","composer","1928","1920","1925","94","","composer","music_department","soundtrack","","","","",""
"Misa Uehara(9947)","Misa Uehara","","actress","1937","1930","1935","85","","actress","","","","","","",""
"Minoru Chiaki(6928)","Minoru Chiaki","","actor","1917","1910","1915","105","","actor","","","","","","",""
"Kamatari Fujiwara(7869)","Kamatari Fujiwara","","actor","1905","1900","1905","117","","actor","","","","","","",""
"Ryûzô Kikushima(2878)","Ryûzô Kikushima","","writer","1914","1910","1910","108","","writer","producer","","","","","",""
"Hideo Oguni(4823)","Hideo Oguni","","writer","1904","1900","1900","118","","writer","director","","","","","",""
"Sanezumi Fujimoto(7772)","Sanezumi Fujimoto","","producer","1910","1910","1910","112","","producer","production_manager","actor","","","","",""
"Harry Sukman(6313)","Harry Sukman","","composer","1912","1910","1910","110","","composer","music_department","soundtrack","","","","",""
"Robert Taylor(1791)","Robert Taylor","","actor","1911","1910","1910","111","","actor","soundtrack","","","","","",""
"Tina Louise(1481)","Tina Louise","","actress","1934","1930","1930","88","","actress","soundtrack","","","","","",""
"Fess Parker(2240)","Fess Parker","","actor","1924","1920","1920","98","","actor","soundtrack","director","","","","",""
"Jack Lord(0437)","Jack Lord","","actor","1920","1920","1920","102","","actor","producer","director","","","","",""
"W.R. Burnett(2446)","W.R. Burnett","","writer","1899","1890","1895","123","","writer","script_department","","","","","",""
"Dudley Nichols(9580)","Dudley Nichols","","writer","1895","1890","1895","127","","writer","producer","director","","","","",""
"Luke Short(5080)","Luke Short","","writer","1908","1900","1905","114","","writer","","","","","","",""
"Frank Freeman Jr.(3273)","Frank Freeman Jr.","","producer","1915","1910","1915","107","","producer","actor","","","","","",""
"Jean-Pierre Léaud(9543)","Jean-Pierre Léaud","","actor","1944","1940","1940","78","","actor","assistant_director","director","","","","",""
"Albert Rémy(3716)","Albert Rémy","","actor","1915","1910","1915","107","","actor","director","","","","","",""
"Claire Maurier(1158)","Claire Maurier","","actress","1929","1920","1925","93","","actress","","","","","","",""
"Guy Decomble(3948)","Guy Decomble","","actor","1910","1910","1910","112","","actor","writer","assistant_director","","","","",""
"François Truffaut(0076)","François Truffaut","","writer","1932","1930","1930","90","","writer","director","producer","","","","",""
"Marcel Moussy(0115)","Marcel Moussy","","writer","1924","1920","1920","98","","writer","director","producer","","","","",""
"Jean Constantin(6036)","Jean Constantin","","soundtrack","1923","1920","1920","99","","soundtrack","composer","actor","","","","",""
"Henri Decaë(5684)","Henri Decaë","","cinematographer","1915","1910","1915","107","","cinematographer","director","camera_department","","","","",""
"Marie-Josèphe Yoyotte(0391)","Marie-Josèphe Yoyotte","","editor","1929","1920","1925","93","","editor","editorial_department","actress","","","","",""
"Raoul Coutard(4170)","Raoul Coutard","","cinematographer","1924","1920","1920","98","","cinematographer","director","actor","","","","",""
"Charles Aznavour(2198)","Charles Aznavour","","soundtrack","1924","1920","1920","98","","soundtrack","actor","music_department","","","","",""
"Marie Dubois(9447)","Marie Dubois","","actress","1937","1930","1935","85","","actress","miscellaneous","","","","","",""
"Nicole Berger(4303)","Nicole Berger","","actress","1934","1930","1930","88","","actress","","","","","","",""
"Michèle Mercier(0440)","Michèle Mercier","","actress","1939","1930","1935","83","","actress","soundtrack","","","","","",""
"David Goodis(8959)","David Goodis","","writer","1917","1910","1915","105","","writer","","","","","","",""
"Pierre Braunberger(5886)","Pierre Braunberger","","producer","1905","1900","1905","117","","producer","actor","writer","","","","",""
"Georges Delerue(0016)","Georges Delerue","","composer","1925","1920","1925","97","","composer","soundtrack","music_department","","","","",""
"Claudine Bouché(9099)","Claudine Bouché","","editor","1925","1920","1925","97","","editor","editorial_department","","","","","",""
"Jeanne Moreau(3402)","Jeanne Moreau","","actress","1928","1920","1925","94","","actress","soundtrack","director","","","","",""
"Oskar Werner(1459)","Oskar Werner","","actor","1922","1920","1920","100","","actor","director","writer","","","","",""
"Henri Serre(5676)","Henri Serre","","actor","1931","1930","1930","91","","actor","writer","soundtrack","","","","",""
"Vanna Urbino(1752)","Vanna Urbino","","actress","1929","1920","1925","93","","actress","","","","","","",""
"Henri-Pierre Roché(4132)","Henri-Pierre Roché","","writer","1879","1870","1875","143","","writer","","","","","","",""
"Jean Gruault(4171)","Jean Gruault","","writer","1924","1920","1920","98","","writer","actor","producer","","","","",""
"Alain Levent(5281)","Alain Levent","","cinematographer","1934","1930","1930","88","","cinematographer","camera_department","director","","","","",""
"Corinne Marchand(5378)","Corinne Marchand","","actress","1937","1930","1935","85","","actress","soundtrack","","","","","",""
"Antoine Bourseiller(0171)","Antoine Bourseiller","","actor","1930","1930","1930","92","","actor","director","","","","","",""
"Dominique Davray(5815)","Dominique Davray","","actress","1919","1910","1915","103","","actress","","","","","","",""
"Dorothée Blanck(7491)","Dorothée Blanck","","actress","1934","1930","1930","88","","actress","editorial_department","","","","","",""
"Agnès Varda(9513)","Agnès Varda","","director","1928","1920","1925","94","","director","writer","editor","","","","",""
"Georges de Beauregard(4676)","Georges de Beauregard","","producer","1920","1920","1920","102","","producer","production_manager","actor","","","","",""
"Carlo Ponti(0638)","Carlo Ponti","","producer","1912","1910","1910","110","","producer","miscellaneous","production_manager","","","","",""
"Michel Legrand(6166)","Michel Legrand","","composer","1932","1930","1930","90","","composer","soundtrack","music_department","","","","",""
"Paul Bonis(4706)","Paul Bonis","","cinematographer","","","","","","cinematographer","camera_department","","","","","",""
"Agnès Guillemot(7071)","Agnès Guillemot","","editor","1931","1930","1930","91","","editor","miscellaneous","","","","","",""
"Anna Karina(9344)","Anna Karina","","actress","1940","1940","1940","82","","actress","soundtrack","writer","","","","",""
"Sady Rebbot(4236)","Sady Rebbot","","actor","1935","1930","1935","87","","actor","miscellaneous","writer","","","","",""
"André S. Labarthe(9351)","André S. Labarthe","","director","1931","1930","1930","91","","director","writer","producer","","","","",""
"Guylaine Schlumberger(2480)","Guylaine Schlumberger","","actress","","","","","","actress","","","","","","",""
"Jean-Luc Godard(0419)","Jean-Luc Godard","","director","1930","1930","1930","92","","director","writer","editor","","","","",""
"Marcel Sacotte(5338)","Marcel Sacotte","","writer","","","","","","writer","","","","","","7.9",""
"James Wong Howe(2146)","James Wong Howe","","cinematographer","1899","1890","1895","123","","cinematographer","camera_department","director","","","","",""
"Paul Newman(0056)","Paul Newman","","actor","1925","1920","1925","97","","actor","producer","director","","","","",""
"Melvyn Douglas(2048)","Melvyn Douglas","","actor","1901","1900","1900","121","","actor","soundtrack","","","","","",""
"Patricia Neal(3658)","Patricia Neal","","actress","1926","1920","1925","96","","actress","soundtrack","","","","","",""
"Brandon De Wilde(1121)","Brandon De Wilde","","actor","1942","1940","1940","80","","actor","soundtrack","","","","","",""
"Martin Ritt(8688)","Martin Ritt","","director","1914","1910","1910","108","","director","producer","actor","","","","",""
"Irving Ravetch(2419)","Irving Ravetch","","writer","1920","1920","1920","102","","writer","producer","actor","","","","",""
"Harriet Frank Jr.(0809)","Harriet Frank Jr.","","writer","1923","1920","1920","99","","writer","producer","","","","","",""
"Larry McMurtry(3505)","Larry McMurtry","","writer","1936","1930","1935","86","","writer","producer","","","","","",""
"Elmer Bernstein(0930)","Elmer Bernstein","","music_department","1922","1920","1920","100","","music_department","composer","soundtrack","","","","",""
"Peter Robbins(0435)","Peter Robbins","","actor","1956","1950","1955","66","","actor","miscellaneous","","","","","",""
"Christopher Shea(0259)","Christopher Shea","","actor","1958","1950","1955","64","","actor","","","","","","",""
"Sally Dryer(8741)","Sally Dryer","","actress","1957","1950","1955","65","","actress","","","","","","",""
"Cathy Steinberg(5777)","Cathy Steinberg","","actress","1959","1950","1955","63","","actress","","","","","","",""
"Bill Melendez(6837)","Bill Melendez","","animation_department","1916","1910","1915","106","","animation_department","producer","actor","","","","",""
"Charles M. Schulz(6433)","Charles M. Schulz","","writer","1922","1920","1920","100","","writer","producer","art_department","","","","",""
"Vince Guaraldi(5279)","Vince Guaraldi","","soundtrack","1928","1920","1925","94","","soundtrack","composer","music_department","","","","",""
"Robert T. Gillis(9315)","Robert T. Gillis","","editorial_department","","","","","","editorial_department","sound_department","editor","","","","",""
"John Robert Lloyd(6039)","John Robert Lloyd","","art_director","1920","1920","1920","102","","art_director","production_designer","art_department","","","","",""
"Kenneth Nelson(5522)","Kenneth Nelson","","actor","1930","1930","1930","92","","actor","","","","","","",""
"Peter White(5320)","Peter White","","actor","1937","1930","1935","85","","actor","","","","","","",""
"Leonard Frey(4600)","Leonard Frey","","actor","1938","1930","1935","84","","actor","soundtrack","","","","","",""
"Frederick Combs(3644)","Frederick Combs","","actor","1935","1930","1935","87","","actor","","","","","","",""
"William Friedkin(1243)","William Friedkin","","director","1935","1930","1935","87","","director","writer","producer","","","","",""
"Mart Crowley(9758)","Mart Crowley","","producer","1935","1930","1935","87","","producer","script_department","writer","","","","",""
"Arthur J. Ornitz(5817)","Arthur J. Ornitz","","cinematographer","1916","1910","1915","106","","cinematographer","director","writer","","","","",""
"Gerald B. Greenberg(8513)","Gerald B. Greenberg","","editor","1936","1930","1935","86","","editor","editorial_department","music_department","","","","",""
"Carl Lerner(3594)","Carl Lerner","","editor","1912","1910","1910","110","","editor","editorial_department","director","","","","",""
"Malcolm McDowell(0532)","Malcolm McDowell","","actor","1943","1940","1940","79","","actor","producer","soundtrack","","","","",""
"Patrick Magee(5861)","Patrick Magee","","actor","1922","1920","1920","100","","actor","","","","","","",""
"Michael Bates(0988)","Michael Bates","","actor","1920","1920","1920","102","","actor","","","","","","",""
"Warren Clarke(5049)","Warren Clarke","","actor","1947","1940","1945","75","","actor","producer","director","","","","",""
"Anthony Burgess(1256)","Anthony Burgess","","script_department","1917","1910","1915","105","","script_department","writer","soundtrack","","","","",""
"John Alcott(5633)","John Alcott","","camera_department","1930","1930","1930","92","","camera_department","cinematographer","","","","","",""
"Bill Butler(4833)","Bill Butler","","editor","1933","1930","1930","89","","editor","editorial_department","sound_department","","","","",""
"John Barry(8045)","John Barry","","production_designer","1935","1930","1935","87","","production_designer","art_department","art_director","","","","",""
"Owen Roizman(5845)","Owen Roizman","","cinematographer","1936","1930","1935","86","","cinematographer","actor","camera_department","","","","",""
"Gene Hackman(0432)","Gene Hackman","","actor","1930","1930","1930","92","","actor","soundtrack","producer","","","","",""
"Roy Scheider(1702)","Roy Scheider","","actor","1932","1930","1930","90","","actor","soundtrack","producer","","","","",""
"Fernando Rey(1073)","Fernando Rey","","actor","1917","1910","1915","105","","actor","miscellaneous","","","","","",""
"Tony Lo Bianco(6215)","Tony Lo Bianco","","actor","1936","1930","1935","86","","actor","director","soundtrack","","","","",""
"Ernest Tidyman(2781)","Ernest Tidyman","","writer","1928","1920","1925","94","","writer","miscellaneous","producer","","","","",""
"Robin Moore(1811)","Robin Moore","","soundtrack","1925","1920","1925","97","","soundtrack","writer","","","","","",""
"Philip D'Antoni(5358)","Philip D'Antoni","","producer","1929","1920","1925","93","","producer","writer","director","","","","",""
"Don Ellis(4803)","Don Ellis","","composer","1934","1930","1930","88","","composer","music_department","soundtrack","","","","",""
"Edward Warschilka(3149)","Edward Warschilka","","editor","1928","1920","1925","94","","editor","editorial_department","sound_department","","","","",""
"Ruth Gordon(2106)","Ruth Gordon","","actress","1896","1890","1895","126","","actress","writer","soundtrack","","","","",""
"Bud Cort(1069)","Bud Cort","","actor","1948","1940","1945","74","","actor","director","writer","","","","",""
"Vivian Pickles(1954)","Vivian Pickles","","actress","1931","1930","1930","91","","actress","writer","","","","","",""
"Cyril Cusack(9258)","Cyril Cusack","","actor","1910","1910","1910","112","","actor","","","","","","",""
"Hal Ashby(0797)","Hal Ashby","","director","1929","1920","1925","93","","director","editorial_department","actor","","","","",""
"Colin Higgins(3359)","Colin Higgins","","writer","1941","1940","1940","81","","writer","director","producer","","","","",""
"Charles Mulvehill(2529)","Charles Mulvehill","","producer","","","","","","producer","production_manager","actor","","","","",""
"John A. Alonzo(2166)","John A. Alonzo","","cinematographer","1934","1930","1930","88","","cinematographer","actor","camera_department","","","","",""
"William A. Sawyer(8235)","William A. Sawyer","","sound_department","","","","","","sound_department","editor","production_manager","","","","",""
"Mitchell Brower(2896)","Mitchell Brower","","producer","1926","1920","1925","96","","producer","","","","","","",""
"Warren Beatty(0886)","Warren Beatty","","actor","1937","1930","1935","85","","actor","soundtrack","producer","","","","",""
"Julie Christie(1046)","Julie Christie","","actress","1940","1940","1940","82","","actress","soundtrack","","","","","",""
"Rene Auberjonois(1281)","Rene Auberjonois","","actor","1940","1940","1940","82","","actor","director","soundtrack","","","","",""
"William Devane(1137)","William Devane","","actor","1939","1930","1935","83","","actor","writer","director","","","","",""
"Robert Altman(0265)","Robert Altman","","director","1925","1920","1925","97","","director","producer","writer","","","","",""
"Edmund Naughton(2547)","Edmund Naughton","","writer","","","","","","writer","","","","","","7.6",""
"Brian McKay(2061)","Brian McKay","","miscellaneous","","","","","","miscellaneous","writer","","","","","",""
"Robert Towne(1801)","Robert Towne","","writer","1934","1930","1930","88","","writer","producer","actor","","","","",""
"Joseph Calvelli(0773)","Joseph Calvelli","","producer","1920","1920","1920","102","","producer","writer","actor","","","","",""
"Gib Guilbeau(6888)","Gib Guilbeau","","composer","1937","1930","1935","85","","composer","","","","","","6.0",""
"Barbara Hershey(1347)","Barbara Hershey","","actress","1948","1940","1945","74","","actress","soundtrack","","","","","",""
"David Carradine(1016)","David Carradine","","actor","1936","1930","1935","86","","actor","producer","soundtrack","","","","",""
"Barry Primus(7587)","Barry Primus","","actor","1938","1930","1935","84","","actor","director","writer","","","","",""
"Bernie Casey(3378)","Bernie Casey","","actor","1939","1930","1935","83","","actor","director","writer","","","","",""
"Martin Scorsese(0217)","Martin Scorsese","","producer","1942","1940","1940","80","","producer","director","actor","","","","",""
"Ben L. Reitman(8639)","Ben L. Reitman","","writer","1879","1870","1875","143","","writer","","","","","","6.0",""
"Joyce Hooper Corrington(1020)","Joyce Hooper Corrington","","writer","1936","1930","1935","86","","writer","producer","","","","","",""
"John William Corrington(1019)","John William Corrington","","writer","1932","1930","1930","90","","writer","miscellaneous","","","","","",""
"Roger Corman(0339)","Roger Corman","","producer","1926","1920","1925","96","","producer","director","actor","","","","",""
"Pierre Guffroy(6535)","Pierre Guffroy","","production_designer","1926","1920","1925","96","","production_designer","art_department","art_director","","","","",""
"Delphine Seyrig(6891)","Delphine Seyrig","","actress","1932","1930","1930","90","","actress","director","producer","","","","",""
"Paul Frankeur(1289)","Paul Frankeur","","actor","1905","1900","1905","117","","actor","","","","","","",""
"Bulle Ogier(4680)","Bulle Ogier","","actress","1939","1930","1935","83","","actress","writer","","","","","",""
"Luis Buñuel(0320)","Luis Buñuel","","writer","1900","1900","1900","122","","writer","director","actor","","","","",""
"Jean-Claude Carrière(0643)","Jean-Claude Carrière","","writer","1931","1930","1930","91","","writer","actor","director","","","","",""
